open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1783566000000,61753.80,62042.70,61693.10,61943.10,3408.734,1783569599999,210865907.85170,115467,1758.335,108768298.44800,0
1783569600000,61943.20,62427.70,61929.00,62420.40,5177.524,1783573199999,322055438.38470,117845,2954.037,183802789.40670,0
1783573200000,62420.30,62599.60,62204.90,62565.80,7762.964,1783576799999,484493501.51880,154693,3872.845,241750340.87900,0
1783576800000,62565.80,62958.00,62452.10,62934.00,10744.759,1783580399999,673988106.34160,182495,6165.693,386825137.66500,0
1783580400000,62933.90,63286.50,62774.50,62973.70,11947.227,1783583999999,752426558.84620,219021,6081.965,383137007.00700,0
1783584000000,62973.60,63083.90,62822.80,62872.60,4400.093,1783587599999,276998939.78640,105011,2044.305,128712908.85140,0
1783587600000,62872.60,62980.40,62753.10,62925.00,3618.009,1783591199999,227413729.90190,100176,1781.957,112025776.07200,0
1783591200000,62925.00,63030.50,62653.80,62757.20,3716.851,1783594799999,233524278.36790,97693,1707.865,107325383.42620,0
1783594800000,62757.20,62804.80,62583.40,62756.00,5140.324,1783598399999,322173815.91630,113918,2401.650,150542405.25170,0
1783598400000,62755.90,62934.30,62428.50,62583.30,19486.300,1783601999999,1221803946.36620,281228,9944.542,623615678.21730,0
1783602000000,62583.30,63215.00,62490.20,62999.90,9489.196,1783605599999,596259369.99710,300061,5478.984,344309292.00810,0
1783605600000,63000.00,63117.90,62620.10,62982.50,7113.788,1783609199999,447038874.43220,274898,3399.535,213670272.53260,0
1783609200000,62982.40,63233.00,62782.50,62835.40,6941.238,1783612799999,437431388.36520,208781,3505.689,220966273.45230,0
1783612800000,62835.40,62969.30,62525.20,62670.70,5324.178,1783616399999,333897601.28640,151512,2702.442,169506760.08050,0
1783616400000,62670.70,63146.00,62640.20,63114.70,5492.868,1783619999999,345716597.54610,135962,2772.293,174463941.62680,0
1783620000000,63114.80,63484.90,63041.90,63199.80,10034.920,1783623599999,635329710.08040,194308,5542.980,350967882.25440,0
1783623600000,63199.90,63365.00,63130.00,63222.90,2981.368,1783627199999,188521301.55640,101712,1701.668,107601637.12340,0
1783627200000,63222.90,63300.00,63148.10,63288.70,1854.485,1783630799999,117259595.75480,62210,801.058,50652067.90330,0
1783630800000,63288.80,63371.70,63162.70,63248.90,1886.986,1783634399999,119390605.72320,52460,888.323,56206401.81220,0
1783634400000,63249.00,63395.90,63180.90,63186.10,2732.059,1783637999999,172896915.08310,69908,1448.615,91685711.39880,0
1783638000000,63186.20,63299.90,63032.20,63197.00,3222.795,1783641599999,203614815.94200,89534,1513.061,95605324.39160,0
1783641600000,63197.10,63239.20,62897.00,63085.30,4961.377,1783645199999,312823677.61750,130844,2309.422,145645736.98730,0
1783645200000,63085.30,63938.80,62931.70,63726.60,11961.053,1783648799999,760820261.84900,231383,7274.574,462621383.70100,0
1783648800000,63726.70,64022.00,63662.60,63935.00,7618.357,1783652399999,486486852.26560,168582,4079.943,260581960.03070,0
1783652400000,63935.00,64019.70,63789.00,63917.20,4041.922,1783655999999,258238714.94210,94066,2011.753,128533171.37020,0
1783656000000,63917.30,64168.00,63826.40,64019.30,6097.263,1783659599999,390358608.26810,120316,3280.043,210013500.36000,0
1783659600000,64019.20,64185.00,63915.00,64090.00,4203.902,1783663199999,269248396.25210,89245,2256.919,144549288.39150,0
1783663200000,64089.90,64138.70,63804.40,63832.80,4672.326,1783666799999,298626688.28380,82733,1848.848,118181357.16610,0
1783666800000,63832.80,63980.00,63765.50,63956.10,4743.281,1783670399999,303053043.59160,75427,2621.440,167494943.69040,0
1783670400000,63956.10,64387.90,63949.10,64211.40,12036.605,1783673999999,772820289.21520,181580,7116.418,456883819.68450,0
